ServiceApprovalNumber,ServiceName,ProviderApprovalNumber,ServiceType,ServiceAddress,Suburb,Postcode,Phone,Fax,Email Address,NumberOfApprovedPlaces,OverallRating,lat,lng,ProviderLegalName,state,country
SE-00006043,Camp Australia - Christian College Geelong OSHC,PR-00002539,Centre,Broughton Drive,BELMONT,3216,1300105343,,opsadmin@campaustralia.com.au,152.0,Meeting,-38.1912333,144.3227745,Camp Australia Pty Limited,Vic,Australia
SE-00004787,Roslyn Primary School Outside School Hours Care,PR-00002570,Centre,183 Roslyn Road,BELMONT,3216,0352433538,0352411319,hutchison.mary.m@edumail.vic.gov.au,55.0,Not,-38.1740584,144.3300065,Roslyn Primary School School Council,Vic,Australia
SE-00005492,School Support Services Belmont OSHC,PR-40009285,Centre,Mt Pleasant Rd,BELMONT,3216,0412662783,,carol@schoolsupportservices.com.au,45.0,Meeting,-38.1696901,144.3350705,C.L SAVAGE & J.L TIDD,Vic,Australia
SE-00011560,Play CC&K (Child Care & Kindergarten),PR-00006729,Centre,121 Roslyn Road,BELMONT,3216,0352443009,,nikki.corbet@playcck.com.au,87.0,Exceeding,-38.1749477,144.3374463,Play CC&K Pty Ltd ATF Corbet Care & Education Trust,Vic,Australia
SE-40002101,Elements Child Care and Early Learning Centre,PR-40001285,Centre,322-328 High St,BELMONT,3216,0352433888,,pru@elementschildcare.com.au,124.0,Exceeding,-38.1879785,144.3286618,Elements Learning Pty Ltd,Vic,Australia
SE-40002158,Mitchell Street Early Learning Centre,PR-40001957,Centre,23-25 Mitchell St,BELMONT,3216,0352457670,,enquiry@mitchellstreetelc.com.au,130.0,Meeting,-38.1751064,144.3516513,MITCHELL STREET EARLY LEARNING CENTRE PTY LTD,Vic,Australia
SE-00003711,St Lukes Highton Kindergarten,PR-40011040,Centre,172 Barrabool Road,HIGHTON,3216,03 5243 5562,,highton.st.lukes.kin@kindergarten.vic.gov.au,27.0,Meeting,-38.1691796,144.3108582,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00003706,Bellevue Preschool,PR-00001533,Centre,224 Roslyn Road,HIGHTON,3216,03 5243 7228,,highton.bellevue.kin@kindergarten.vic.gov.au,33.0,Meeting,-38.1731824,144.3238388,Bethany Kindergarten Services Limited,Vic,Australia
SE-00003710,Highton Preschool Centre,PR-00001533,Centre,257 Roslyn Road,HIGHTON,3216,03 5243 1135,,highton.kin@kindergarten.vic.gov.au,31.0,Exceeding,-38.173056,144.320375,Bethany Kindergarten Services Limited,Vic,Australia
SE-00003720,Town & Country Childrens Centre,PR-00002190,Centre,199 South Valley Road,HIGHTON,3216,03 5241 9996,03 5241 9226,townandcountry@advancechildcare.com.au,94.0,Meeting,-38.192888,144.315573,Kazzico Pty Ltd,Vic,Australia
SE-00005802,Camp Australia - Montpellier Primary School OSHC,PR-00002539,Centre,Lambhill Cres,HIGHTON,3216,1300105343,03 5241 1279,opsadmin@campaustralia.com.au,120.0,Meeting,-38.1659579,144.314651,Camp Australia Pty Limited,Vic,Australia
SE-40003974,Team Holiday - Highton,PR-40002234,Centre,"Bellaire Primary School, 59-71 Larcombe St",HIGHTON,3216,0395320366,,info@teamholiday.com.au,100.0,Not,-38.179826,144.321099,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-40000270,School Support Services Highton OSHC Program,PR-40009285,Centre,"Highton Primary School, 216 Roslyn Rd",HIGHTON,3216,0412662783,,carol@schoolsupportservices.com.au,40.0,Meeting,-38.1720656,144.3172359,C.L SAVAGE & J.L TIDD,Vic,Australia
SE-00005979,Bellaire Primary School OSHC Program,PR-00003016,Centre,Larcombe Street,HIGHTON,3216,03 5243 5203,03 5241 1134,williams.kirsty.l@edumail.vic.gov.au,120.0,Meeting,-38.1767033,144.3198842,Bellaire Primary School,Vic,Australia
SE-00003762,Welwyn Kindergarten,PR-40011040,Centre,44 Welwyn Parade,DEER PARK,3023,03 9363 1939,0390200584,welwynkindergarten@lentarauc.org.au,33.0,Meeting,-37.762722,144.771664,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00004396,Pelican Childcare Deer Park,PR-00000898,Centre,79 Foleys Road,DEER PARK,3023,0393635199,,deerpark@pelicanchildcare.com.au,90.0,Meeting,-37.7817624,144.7638192,G8 Education Limited,Vic,Australia
SE-00003776,Aycliffe Drive Kindergarten,PR-00002186,Centre,5 Aycliffe Drive,DEER PARK,3023,03 9363 6574,03 8390 5153,westerngate.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.75275,144.762656,Brimbank Preschool Association Inc,Vic,Australia
SE-00003780,Orama Street Child Care Centre,PR-00002186,Centre,24 Orama Street,DEER PARK,3023,03 9363 5918,03 9360 4629,orama.st.cc@kindergarten.vic.gov.au,93.0,Meeting,-37.768282,144.7649447,Brimbank Preschool Association Inc,Vic,Australia
SE-00003775,Deer Park West Kindergarten,PR-00001466,Centre,Adeline Court,DEER PARK,3023,03 9363 3488,03 9361 1237,deer.park.west.kin@kindergarten.vic.gov.au,30.0,Not,-37.7726176,144.7642162,Deer Park West Kindergarten Inc,Vic,Australia
SE-00003781,Deer Park Childrens Community Centre,PR-00001465,Centre,3 Hume Street,DEER PARK,3023,03 9363 3032,03 9363 0366,dpccc@bigpond.com,29.0,Meeting,-37.771303,144.775845,Deer Park Children's Community Centre Inc,Vic,Australia
SE-00011599,Camp Australia - Deer Park West Primary School OSHC,PR-00002539,Centre,Quinn Street,DEER PARK,3023,1300105343,,opsadmin@campaustralia.com.au,60.0,Meeting,-37.7720523,144.7626236,Camp Australia Pty Limited,Vic,Australia
SE-00004689,Goodstart Early Learning Deer Park,PR-00001129,Centre,799 Ballarat Road,DEER PARK,3023,03 9361 2022,03 9361 2122,dee@goodstart.org.au,56.0,Exceeding,-37.7707186,144.7752367,Goodstart Early Learning Ltd,Vic,Australia
SE-00005027,St Peter Chanel OSHClub,PR-40004402,Centre,848 Ballarat Road,DEER PARK,3023,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,60.0,Exceeding,-37.7674936,144.7662516,OSHCLUB PTY LTD,Vic,Australia
SE-00003796,Bruthen Kindergarten,PR-40011040,Centre,1 Seehusen Avenue,BRUTHEN,3885,03 51575455,0351525733,bruthen.kin@kindergarten.vic.gov.au,40.0,Meeting,-37.705527,147.8307617,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00003855,St Lukes Uniting Kindergarten,PR-40011040,Centre,94 Essex Road,MOUNT WAVERLEY,3149,03 98079710,,st.lukes.uniting.kin@kindergarten.vic.gov.au,29.0,Meeting,-37.8638565,145.1234328,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00003851,Glendal Kindergarten,PR-00002149,Centre,3 Lucerne Street,MOUNT WAVERLEY,3149,0398025732,0398025732,glendal.kin@kindergarten.vic.gov.au,29.0,Exceeding,-37.8609106,145.1497927,Child & Family Care Network,Vic,Australia
SE-00003853,Mt Waverley Kindergarten,PR-00002149,Centre,35 Sherwood Road,MOUNT WAVERLEY,3149,0398071267,0398072167,mt.waverley.kin@kindergarten.vic.gov.au,26.0,Exceeding,-37.8790755,145.127255,Child & Family Care Network,Vic,Australia
SE-00003860,Nara Kindergarten,PR-00002149,Centre,2 Stanley Avenue,MOUNT WAVERLEY,3149,0398075250,0398075250,nara.kin@kindergarten.vic.gov.au,33.0,Exceeding,-37.8891566,145.1164872,Child & Family Care Network,Vic,Australia
SE-00003870,Hansen Street Childrens Centre,PR-40000805,Centre,18 Hansen Street,MOUNT WAVERLEY,3149,03 9807 5208,03 9807 5228,hansenstcc@yahoo.com.au,35.0,Meeting,-37.881796,145.116223,LOMIROAE PTY. LTD.,Vic,Australia
SE-00003852,Highmount Kindergarten,PR-40011779,Centre,36 Lechte Road,MOUNT WAVERLEY,3149,0398022812,,highmount.kin@kindergarten.vic.gov.au,30.0,Meeting,-37.8698987,145.1347215,HIGHMOUNT PRE SCHOOL ASSOCIATION INCORPORATED,Vic,Australia
SE-00003854,Pinewood Kindergarten,PR-00001745,Centre,13 Pinewood Drive,MOUNT WAVERLEY,3149,03 9802 5961,03 9802 6892,pinewood.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.8892144,145.1405356,Pinewood Preschool Centre Inc,Vic,Australia
SE-00003996,Essex Heights Juniors,PR-00001997,Centre,102 Huntingdale Road,MOUNT WAVERLEY,3149,03 9888 8447,03 9888 8449,info@ehjuniors.com.au,87.0,Exceeding,-37.8595779,145.1135739,Essex Heights Juniors Pty Ltd,Vic,Australia
SE-00004067,Green Land Childrens Services Centre,PR-00002085,Centre,420 High Street Road,MOUNT WAVERLEY,3149,03 9830 8811,03 9830 8844,greenlandcsc@gmail.com,67.0,Not,-37.870594,145.132594,Pantea Pty Ltd,Vic,Australia
SE-00004379,Huntingtower Pre-Prep,PR-00002144,Centre,77 Waimarie Drive,MOUNT WAVERLEY,3149,03 9831 9454,03 9888 1089,gcutler@huntingtower.vic.edu.au,25.0,Exceeding,-37.8780005,145.1371094,Huntingtower School Association,Vic,Australia
SE-00005789,HT After Care,PR-00002144,Centre,77 Waimarie Drive,MOUNT WAVERLEY,3149,03 9807 8888,03 9888 1089,asc@huntingtower.vic.edu.au,30.0,Meeting,-37.8780005,145.1371094,Huntingtower School Association,Vic,Australia
SE-00005805,Mount Waverley PS OSHC - Extend,PR-00002530,Centre,Solomon Street,MOUNT WAVERLEY,3149,1300366437,1300849438,enquiries@extend.com.au,84.0,Meeting,-37.8878184,145.110151,Extend (Australia) Pty Ltd,Vic,Australia
SE-00005101,Camp Australia - Mount Waverley Primary School OSHC,PR-00002539,Centre,37-45 Park Lane,MOUNT WAVERLEY,3149,1300105343,,opsadmin@campaustralia.com.au,150.0,Meeting,-37.881374,145.124006,Camp Australia Pty Limited,Vic,Australia
SE-00005188,Camp Australia - Holy Family Primary School OSHC,PR-00002539,Centre,250 Stephensons Rd,MOUNT WAVERLEY,3149,1300105343,03 8610 1203,oshc@campaustralia.com.au,45.0,Meeting,-37.874486,145.1294681,Camp Australia Pty Limited,Vic,Australia
SE-00005585,Camp Australia - Mount Waverley North Primary School OSHC,PR-00002539,Centre,Marcus Avenue,MOUNT WAVERLEY,3149,1300105343,,oshc@campaustralia.com.au,60.0,Meeting,-37.8682993,145.1427849,Camp Australia Pty Limited,Vic,Australia
SE-00004714,Goodstart Early Learning Mount Waverley,PR-00001129,Centre,Unit 152/45 Gilby Road,MOUNT WAVERLEY,3149,03 9544 5899,,mtw@goodstart.org.au,84.0,Exceeding,-37.8978605,145.1342157,Goodstart Early Learning Ltd,Vic,Australia
SE-00005902,Pinewood OSHClub,PR-40004402,Centre,Pinewood Drive,MOUNT WAVERLEY,3149,0398878233,0386779184,jagvicsa@junioradventuresgroup.com.au,130.0,Meeting,-37.8886222,145.140353,OSHCLUB PTY LTD,Vic,Australia
SE-00005352,Wilson Childcare,PR-40011565,Centre,11 Marianne Way,MOUNT WAVERLEY,3149,0398025053,0398025499,mtwaverley@shel.edu.au,80.0,Meeting,-37.865858,145.132567,Sparrow Nest Early Learning No 22 Pty Ltd,Vic,Australia
SE-00005642,Essex Heights Primary School Before and After School Care Program,PR-00002863,Centre,Essex Road,MOUNT WAVERLEY,3149,0398072615,0388822490,davis.paul.d@edumail.vic.gov.au,105.0,Exceeding,-37.8631531,145.1183297,Essex Heights Primary School Council,Vic,Australia
SE-00005779,Syndal South Primary School Out of School Hours Care,PR-00002932,Centre,14 Montgomery Ave,MOUNT WAVERLEY,3149,03 9886 8483,03 9886 1301,ohsc.syndal.south.ps@edumail.vic.gov.au,60.0,Not,-37.879202,145.142669,Syndal South Primary School,Vic,Australia
SE-00003957,Yea and District Childrens Centre,PR-40011040,Centre,23 The Semi Circle,YEA,3717,0357972730,0357972860,yea.kin@kindergarten.vic.gov.au,67.0,Exceeding,-37.2134319,145.4217374,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-40007430,Watchful Eyes Before and After School Care,PR-40008091,Centre,"Yea Primary School, 23 Station Street",YEA,3717,0421253618,,watchfuleyesbasc@gmail.com,15.0,NA,-37.2131736,145.4280907,,Vic,Australia
SE-00004055,Dala Lidj - Woolum Bellum Kindergarten,PR-40011040,Centre,3 Harold Street,MORWELL,3840,0351353795,,woolum.bellum.kin@kindergarten.vic.gov.au,25.0,Meeting,-38.2311421,146.404777,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00003477,Elizabeth Wilmot Kindergarten,PR-00001618,Centre,23-29 Well Street,MORWELL,3840,0351285740,,stacey.jennings@latrobe.vic.gov.au,27.0,Meeting,-38.2213502,146.4209548,Latrobe City Council,Vic,Australia
SE-00003480,Parklands Kindergarten,PR-00001618,Centre,121 Bridle Road,MORWELL,3840,0351285550,,stacey.jennings@latrobe.vic.gov.au,30.0,Not,-38.2222192,146.4337822,Latrobe City Council,Vic,Australia
SE-00003483,Carinya Early Learning Centre,PR-00001618,Centre,33 Rintoull Street,MORWELL,3840,0351343155,,stacey.jennings@latrobe.vic.gov.au,60.0,Exceeding,-38.2327597,146.4141182,Latrobe City Council,Vic,Australia
SE-00004150,Maryvale Crescent Kindergarten,PR-00001618,Centre,14 Maryvale Crescent,MORWELL,3840,0351285595,,stacey.jennings@latrobe.vic.gov.au,29.0,Meeting,-38.2393913,146.387646,Latrobe City Council,Vic,Australia
SE-00005015,Latrobe City Family Day Care,PR-00001618,Family,141 Commercial Road,MORWELL,3840,0351343155,,fdc@latrobe.vic.gov.au,,Meeting,-38.2367008,146.3954805,Latrobe City Council,Vic,Australia
SE-00003482,Kylie Early Learning Centre,PR-00002329,Centre,54 Collins Street,MORWELL,3840,03 5134 6177,03 5134 6177,kylieccc@wideband.net.au,38.0,Not,-38.2295216,146.4002039,C & G Gordon Pty Ltd ATF The Gordon Family Trust,Vic,Australia
SE-00004720,Goodstart Early Learning Morwell,PR-00001129,Centre,Commercial Road,MORWELL,3840,03 5134 6799,,mwl@goodstart.org.au,65.0,Meeting,-38.2381326,146.4001622,Goodstart Early Learning Ltd,Vic,Australia
SE-40008515,After The Bell Aus- Morwell Central Primary School,PR-40005656,Centre,1 McDonald St,MORWELL,3840,0397586744,,admin@afterthebell.com.au,30.0,NA,-38.2377156,146.404752,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,Vic,Australia
SE-00006146,Mid Valley Kinder and Child Care,PR-00003085,Centre,31-33 Bridle Road,MORWELL,3840,03 5135 6522,,admin@midvalleykinder.com.au,75.0,Not,-38.2309522,146.4318591,Gomez Investment Company Pty Ltd as Trustee for Gomez Family Trust,Vic,Australia
SE-00004104,Rainbow Kindergarten,PR-40011040,Centre,46 Taverner Street,RAINBOW,3424,0353951172,0353821566,rainbow.kin@kindergarten.vic.gov.au,24.0,Not,-35.8981929,141.9973757,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00004244,Serrell Street Kindergarten,PR-40011040,Centre,54 Serrell Street,MALVERN EAST,3145,03 9571 8607,03 9572 0350,serrell.st.kin@kindergarten.vic.gov.au,51.0,Meeting,-37.880258,145.062562,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-40007239,The Learning Sanctuary Malvern East,PR-00000898,Centre,1-3 Olive St,MALVERN EAST,3145,0395713467,,malverneast@thelearningsanctuary.com.au,145.0,NA,-37.8753181,145.0599239,G8 Education Limited,Vic,Australia
SE-00003367,Ewing Kindergarten,PR-00001513,Centre,32A Manning Road,MALVERN EAST,3145,0395713955,0395713955,ewing.kin@kindergarten.vic.gov.au,44.0,Exceeding,-37.873173,145.049412,Ewing Kindergarten Inc,Vic,Australia
SE-00003368,Sunnyside Kindergarten,PR-00001837,Centre,5 Cooinda Place,MALVERN EAST,3145,0395715349,,hello@sunnysidekindergarten.org.au,56.0,Exceeding,-37.880067,145.0668644,Sunnyside Kindergarten Association Inc,Vic,Australia
SE-00003377,Little Paddington Child Care Centre and Kindergarten,PR-00001729,Centre,412 Waverley Road,MALVERN EAST,3145,03 9572 3838,03 9572 4415,littlep@alphalink.com.au,60.0,Meeting,-37.878298,145.0651865,Paddington Bear Pty Ltd,Vic,Australia
SE-00004516,East Malvern Early Learning Centre,PR-00002528,Centre,11 Illowa Street,MALVERN EAST,3145,03 9886 9142,03 9886 9551,eastmalvern@mychildelc.com.au,50.0,Exceeding,-37.869338,145.06162,Great Start Early Learning Centres Pty Ltd as Trustee for Great Start Unit Trust,Vic,Australia
SE-00005273,Camp Australia - Lloyd Street Primary School OSHC,PR-00002539,Centre,Lloyd Street,MALVERN EAST,3145,1300105343,,oshc@campaustralia.com.au,258.0,Meeting,-37.8728294,145.0558767,Camp Australia Pty Limited,Vic,Australia
SE-00005303,Malvern Valley Primary School OSHC,PR-00002729,Centre,1A Abbotsford Ave,MALVERN EAST,3145,0434 637 943,03 9568 4663,prendergast.kerry.r@edumail.vic.gov.au,60.0,Meeting,-37.8805408,145.0818589,Malvern Valley Primary School,Vic,Australia
SE-00006027,Early Years at Phoenix Park,PR-00003045,Centre,25 Quentin Road,MALVERN EAST,3145,0395699500,,admin@eypp.org.au,134.0,Exceeding,-37.8796133,145.0809401,Early Years at Phoenix Park Inc,Vic,Australia
SE-40004612,Central Park Child Care Centre,PR-00001418,Centre,116 Burke Rd,MALVERN EAST,3145,98857138,,info@centralparkchildcare.org.au,26.0,Meeting,-37.8664192,145.0502042,Central Park Child Care Inc,Vic,Australia
SE-00004247,Glen Iris Road Kindergarten,PR-40011040,Centre,200 Glen Iris Road,GLEN IRIS,3146,03 9885 5798,03 9885 5798,glen.iris.road.uniting.kin@kindergarten.vic.gov.au,30.0,Meeting,-37.8607384,145.0654028,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00002840,Rowen Street Kindergarten,PR-00001786,Centre,27 Rowen Street,GLEN IRIS,3146,03 9889 7996,,rowen.st.kin@kindergarten.vic.gov.au,55.0,Exceeding,-37.857869,145.088312,Rowen Street Kindergarten Inc,Vic,Australia
SE-00002841,Alfred Road Kindergarten,PR-00001400,Centre,48A Alfred Road,GLEN IRIS,3146,03 9889 4038,,alfred.road.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.854311,145.088894,Alfred Road Kindergarten Inc,Vic,Australia
SE-00002842,Summerhill Park Kindergarten,PR-00001835,Centre,46 Audrey Crescent,GLEN IRIS,3146,0398891543,03 9889 1543,summerhill.park.kin@kindergarten.vic.gov.au,27.0,Exceeding,-37.8582364,145.0813796,Summerhill Park Kindergarten Inc,Vic,Australia
SE-00003366,Gardiner Preschool Inc,PR-00001529,Centre,10 St Andrews Lane,GLEN IRIS,3146,03 9885 4040,03 9886 0615,gardiner.kin@kindergarten.vic.gov.au,50.0,Exceeding,-37.854954,145.050633,Gardiner Preschool Inc,Vic,Australia
SE-00003370,Samanthas Child Care and Kindergarten,PR-00002031,Centre,190 Burke Road,GLEN IRIS,3146,0398856474,,samanthas@samanthaschildcare.com.au,67.0,Meeting,-37.8596,145.051497,Kordus Pty Ltd,Vic,Australia
SE-00004013,Caulfield Grammar Early Childhood Centre-Malvern Campus,PR-00001986,Centre,5 Willoby Avenue,GLEN IRIS,3146,0398855995,0398855721,marygrummet@caulfieldgs.vic.edu.au,70.0,Exceeding,-37.8641085,145.0526106,Caulfield Grammar School,Vic,Australia
SE-00004064,Korowa AGS Early Learning Centre for 3 and 4 Year Olds,PR-00002081,Centre,Ranfurlie Crescent,GLEN IRIS,3146,0398110239,0398858378,LMcgregor@korowa.vic.edu.au,99.0,Exceeding,-37.8608439,145.0539775,Korowa Anglican Girls School Ltd,Vic,Australia
SE-00004340,The Learning Sanctuary Glen Iris,PR-00002023,Centre,47 - 49 Glen Iris Road,GLEN IRIS,3146,0398092888,,gleniris@thelearningsanctuary.com.au,80.0,Exceeding,-37.8479313,145.0687627,A.C.N. 078 042 378 Pty Ltd,Vic,Australia
SE-40002512,Glen Iris Childcare & Kindergarten,PR-00002166,Centre,330-332 Warrigal Rd,GLEN IRIS,3146,0398898396,,glenirisccc@bigpond.com,82.0,Meeting,-37.859877,145.093718,Trident Personnel Pty Ltd,Vic,Australia
SE-40008253,Korowa Anglican Girls School OSHC - Extend,PR-00002530,Centre,"Korowa Anglican Girls School, 10-16 Ranfurlie Cres",GLEN IRIS,3146,1300366437,1300849438,enquiries@extend.com.au,53.0,NA,-37.8609969,145.0540044,Extend (Australia) Pty Ltd,Vic,Australia
SE-00005160,Camp Australia - Glen Iris Primary School OSHC,PR-00002539,Centre,Glen Iris Road,GLEN IRIS,3146,1300105343,03 8610 1203,oshc@campaustralia.com.au,60.0,Meeting,-37.8534231,145.0674595,Camp Australia Pty Limited,Vic,Australia
SE-00005211,Camp Australia - Camberwell South Primary School OSHC,PR-00002539,Centre,Peate Ave,GLEN IRIS,3146,1300105343,,opsadmin@campaustralia.com.au,109.0,Meeting,-37.8488572,145.0627718,Camp Australia Pty Limited,Vic,Australia
SE-00011607,Camp Australia - St Cecilias Primary School OSHC,PR-00002539,Centre,4 Van Ness Avenue,GLEN IRIS,3146,1300105343,,opsadmin@campaustralia.com.au,69.0,Meeting,-37.8498775,145.0652345,Camp Australia Pty Limited,Vic,Australia
SE-00011610,Camp Australia - Caulfield Grammar School Malvern Campus OSHC,PR-00002539,Centre,5 Willoby Avenue,GLEN IRIS,3146,1300105343,,opsadmin@campaustralia.com.au,75.0,Meeting,-37.8641085,145.0526106,Camp Australia Pty Limited,Vic,Australia
SE-00005458,St Rochs OSHC,PR-00002783,Centre,Glenvale Road,GLEN IRIS,3146,0400 680 237,98488156,rita@ylv.com.au,24.0,Meeting,-37.8578756,145.0531196,Youth Leadership Victoria Inc,Vic,Australia
SE-40005096,Team Holiday - Camberwell South,PR-40002234,Centre,Peate Ave,GLEN IRIS,3146,0395320366,,info@teamholiday.com.au,60.0,Not,-37.8488572,145.0627718,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-40005110,Team Holiday - Glen Iris,PR-40002234,Centre,"Glen Iris Primary School, 170 Glen Iris Rd",GLEN IRIS,3146,0395320366,,sam@teamholiday.com.au,60.0,Meeting,-37.859905,145.0656361,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-00004253,St Andrews Uniting Care Kindergarten,PR-40011040,Centre,210 Sutton Street,WARRAGUL,3820,0356232425,0356232425,warragul.st.andrews.kin@kindergarten.vic.gov.au,30.0,Meeting,-38.1537486,145.9440057,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00003827,Warragul Community Kindergarten,PR-00002502,Centre,1 Mouritz Street,WARRAGUL,3820,0356236882,0356231905,warragul.community.kin@kindergarten.vic.gov.au,66.0,Exceeding,-38.16097,145.945623,Young Mens Christian Association Of Ballarat Inc,Vic,Australia
SE-00003830,Grace Berglund Kindergarten,PR-00002502,Centre,12 George Street,WARRAGUL,3820,0356223324,0356221944,grace.berglund.kin@kindergarten.vic.gov.au,23.0,Exceeding,-38.1592648,145.9372067,Young Mens Christian Association Of Ballarat Inc,Vic,Australia
SE-00004417,St Pauls Early Learning Centre - Warragul,PR-00002137,Centre,150 Bowen Street,WARRAGUL,3820,03 5622 6302,03 5622 6139,ehall@stpaulsags.vic.edu.au,92.0,Exceeding,-38.1463149,145.9298863,St Paul's Anglican Grammar School Ltd,Vic,Australia
SE-40001108,Waterford Rise Early Learning Centre,PR-40002929,Centre,1 Crole Drive,WARRAGUL,3820,0356110334,,waterfordrise@sparrowearlylearning.com.au,114.0,Meeting,-38.1495372,145.9055134,Sparrow Nest Early Learning No 1 Pty Ltd,Vic,Australia
SE-00006061,Victorian YMCA Community Programming Pty Ltd at Warragul Leisure Centre,PR-00001946,Centre,21 Burke Street,WARRAGUL,3820,0356234017,,miriam.beeby@ymca.org.au,61.0,Not,-38.1673697,145.9272447,Victorian YMCA Community Programming Pty Ltd,Vic,Australia
SE-00004988,Camp Australia - St Pauls Anglican Grammar School Warragul OSHC,PR-00002539,Centre,150 Bowen Street,WARRAGUL,3820,1300105343,,opsadmin@campaustralia.com.au,30.0,Not,-38.1463149,145.9298863,Camp Australia Pty Limited,Vic,Australia
SE-00004759,Goodstart Early Learning Warragul - Burke Street,PR-00001129,Centre,75-77 Burke Street,WARRAGUL,3820,03 5622 2787,03 5622 2788,kcx@goodstart.org.au,70.0,Exceeding,-38.1614461,145.9222067,Goodstart Early Learning Ltd,Vic,Australia
SE-00004772,Goodstart Early Learning Warragul - Sutton Street,PR-00001129,Centre,201 Sutton Street,WARRAGUL,3820,03 5622 0900,03 5622 3433,kcz@goodstart.org.au,81.0,Exceeding,-38.1531261,145.9434716,Goodstart Early Learning Ltd,Vic,Australia
SE-00004976,Warragul Primary Combined Outside School Hours Care,PR-00002652,Centre,Bowen Street,WARRAGUL,3820,03 5623 2460,03 5622 3103,warragul.ps@edumail.vic.gov.au,60.0,Exceeding,-38.1505306,145.9289153,Warragul Primary School Council,Vic,Australia
SE-00005046,Warragul North Primary School Outside School Hours Care,PR-00002671,Centre,O'Dowds Road,WARRAGUL,3820,03 5623 4066,03 5623 4345,warragul.north.ps@edumail.vic.gov.au,40.0,Exceeding,-38.1483946,145.9398154,Warragul North Primary School Council,Vic,Australia
SE-00005065,Baw Baw Shire Family Day Care,PR-00002676,Family,144 Normanby Street,WARRAGUL,3820,0356250216,0356231942,caroline.halliday@bawbawshire.vic.gov.au,,Exceeding,-38.1588512,145.9403685,Baw Baw Shire,Vic,Australia
SE-00004314,Warracknabeal Child Care Centre,PR-40011040,Centre,5 Werrigar Street,WARRACKNABEAL,3393,0353941751,0353821566,warrack@wuc.org.au,24.0,Not,-36.2579888,142.3918468,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00004311,Warracknabeal Memorial Kindergarten,PR-00001940,Centre,11 Werrigar Street,WARRACKNABEAL,3393,03 5398 1747,03 5394 1823,warracknabeal.kin@kindergarten.vic.gov.au,30.0,Not,-36.257968,142.388089,Yarriambiack Shire Council,Vic,Australia
SE-00005918,Gormandale Kindergarten,PR-40011040,Centre,38 Main Street,GORMANDALE,3873,0351977480,,Gormandale.Kin@kindergarten.vic.gov.au,19.0,Exceeding,-38.2942579,146.7019873,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-40002418,Dimboola Kindergarten,PR-40011040,Centre,27 Hindmarsh St,DIMBOOLA,3414,0353891130,,dimboola@wuc.org.au,30.0,Not,-36.4546825,142.0315141,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-40006019,Cardigan Village Kindergarten,PR-40011040,Centre,2 Mitchell Dr,CARDIGAN VILLAGE,3352,0457444414,,tbik@ucare.org.au,20.0,Meeting,-37.5147002,143.7087653,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-40008756,Nhill Early Learning Centre,PR-40011040,Centre,2 /20 Whitehead Ave,NHILL,3418,0353913369,,katrinas@wuc.org.au,89.0,NA,-36.3319977,141.657751,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-40011961,Jubilee Kindergarten,PR-40011040,Centre,402 Forest St,WENDOUREE,3355,,0000000000,jubileekindergarten@hotmail.com,22.0,NA,-37.5219195,143.83525,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00002662,Linda Brown Preschool,PR-00002232,Centre,Lot 1 College Street,WENDOUREE,3355,03 5339 2062,,linda.brown.kin@kindergarten.vic.gov.au,52.0,Exceeding,-37.5380632,143.8371122,Eureka Community Kindergarten Association Inc,Vic,Australia
SE-00002664,Rowan View Preschool,PR-00002232,Centre,402 Forest Street,WENDOUREE,3355,03 5339 6196,03 5339 6196,rowan.view.kin@kindergarten.vic.gov.au,30.0,Meeting,-37.5219195,143.83525,Eureka Community Kindergarten Association Inc,Vic,Australia
